,SEASON_ID,GAME_DATE,PTS,LOCATION,OPPONENT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_OREB_PCT
0,22023,"OCT 28, 2023",19,Home,MIA,"0    0.561
Name: OPP_EFG_PCT, dtype: float64","0    0.253
Name: OPP_FTA_RATE, dtype: float64","0    0.267
Name: OPP_OREB_PCT, dtype: float64"
1,22023,"OCT 25, 2023",26,Away,TOR,"0    0.565
Name: OPP_EFG_PCT, dtype: float64","0    0.28
Name: OPP_FTA_RATE, dtype: float64","0    0.279
Name: OPP_OREB_PCT, dtype: float64"
2,22022,"APR 09, 2023",26,Home,NOP,"0    0.543
Name: OPP_EFG_PCT, dtype: float64","0    0.272
Name: OPP_FTA_RATE, dtype: float64","0    0.268
Name: OPP_OREB_PCT, dtype: float64"
3,22022,"APR 08, 2023",33,Away,SAS,"0    0.576
Name: OPP_EFG_PCT, dtype: float64","0    0.26
Name: OPP_FTA_RATE, dtype: float64","0    0.291
Name: OPP_OREB_PCT, dtype: float64"
4,22022,"APR 04, 2023",23,Away,BKN,"0    0.53
Name: OPP_EFG_PCT, dtype: float64","0    0.276
Name: OPP_FTA_RATE, dtype: float64","0    0.311
Name: OPP_OREB_PCT, dtype: float64"
5,22022,"APR 02, 2023",37,Home,POR,"0    0.563
Name: OPP_EFG_PCT, dtype: float64","0    0.276
Name: OPP_FTA_RATE, dtype: float64","0    0.291
Name: OPP_OREB_PCT, dtype: float64"
6,22022,"MAR 31, 2023",11,Home,LAL,"0    0.535
Name: OPP_EFG_PCT, dtype: float64","0    0.222
Name: OPP_FTA_RATE, dtype: float64","0    0.273
Name: OPP_OREB_PCT, dtype: float64"
7,22022,"MAR 29, 2023",31,Away,PHX,"0    0.532
Name: OPP_EFG_PCT, dtype: float64","0    0.298
Name: OPP_FTA_RATE, dtype: float64","0    0.286
Name: OPP_OREB_PCT, dtype: float64"
8,22022,"MAR 27, 2023",17,Away,SAC,"0    0.563
Name: OPP_EFG_PCT, dtype: float64","0    0.258
Name: OPP_FTA_RATE, dtype: float64","0    0.269
Name: OPP_OREB_PCT, dtype: float64"
9,22022,"MAR 26, 2023",13,Away,GSW,"0    0.54
Name: OPP_EFG_PCT, dtype: float64","0    0.278
Name: OPP_FTA_RATE, dtype: float64","0    0.281
Name: OPP_OREB_PCT, dtype: float64"
10,22022,"MAR 17, 2023",8,Away,CHI,"0    0.544
Name: OPP_EFG_PCT, dtype: float64","0    0.253
Name: OPP_FTA_RATE, dtype: float64","0    0.264
Name: OPP_OREB_PCT, dtype: float64"
11,22022,"MAR 15, 2023",28,Home,BOS,"0    0.528
Name: OPP_EFG_PCT, dtype: float64","0    0.234
Name: OPP_FTA_RATE, dtype: float64","0    0.254
Name: OPP_OREB_PCT, dtype: float64"
12,22022,"MAR 13, 2023",32,Away,ATL,"0    0.552
Name: OPP_EFG_PCT, dtype: float64","0    0.257
Name: OPP_FTA_RATE, dtype: float64","0    0.283
Name: OPP_OREB_PCT, dtype: float64"
13,22022,"MAR 10, 2023",32,Home,BKN,"0    0.53
Name: OPP_EFG_PCT, dtype: float64","0    0.276
Name: OPP_FTA_RATE, dtype: float64","0    0.311
Name: OPP_OREB_PCT, dtype: float64"
14,22022,"MAR 07, 2023",32,Home,PHI,"0    0.541
Name: OPP_EFG_PCT, dtype: float64","0    0.277
Name: OPP_FTA_RATE, dtype: float64","0    0.279
Name: OPP_OREB_PCT, dtype: float64"
15,22022,"MAR 04, 2023",27,Away,SAC,"0    0.563
Name: OPP_EFG_PCT, dtype: float64","0    0.258
Name: OPP_FTA_RATE, dtype: float64","0    0.269
Name: OPP_OREB_PCT, dtype: float64"
16,22022,"MAR 03, 2023",19,Away,LAL,"0    0.535
Name: OPP_EFG_PCT, dtype: float64","0    0.222
Name: OPP_FTA_RATE, dtype: float64","0    0.273
Name: OPP_OREB_PCT, dtype: float64"
17,22022,"FEB 28, 2023",18,Away,LAC,"0    0.543
Name: OPP_EFG_PCT, dtype: float64","0    0.253
Name: OPP_FTA_RATE, dtype: float64","0    0.269
Name: OPP_OREB_PCT, dtype: float64"
18,22022,"FEB 26, 2023",12,Away,GSW,"0    0.54
Name: OPP_EFG_PCT, dtype: float64","0    0.278
Name: OPP_FTA_RATE, dtype: float64","0    0.281
Name: OPP_OREB_PCT, dtype: float64"
19,22022,"FEB 24, 2023",29,Home,CHA,"0    0.544
Name: OPP_EFG_PCT, dtype: float64","0    0.266
Name: OPP_FTA_RATE, dtype: float64","0    0.283
Name: OPP_OREB_PCT, dtype: float64"
